Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Park, S. J. et al. Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue. Circulation 140, 390404 (2019).", Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue,,https://doi.org/10.1038/s41598-017-05018-4,2019," Circulation 140, 390404 (2019)","in-house, Cor.4U",2,"NaN, NaN","NaN, NaN",Matrigel,mTeSR-1,,Cor.4U complete medium or 1:1 RPMI-1640:No-glucose DMEM,"Cor.4U complete medium, or RPMI-1640, B27, lactate, FBS",CHIR99021,0-1,IWR1,3-May,No glucose with lactate,15-18,Flow cytometry for cTnT+,92,,,,,Optical stimulation,,,,,Yes,,Hydrogel,,CM,,,"Cor.4U,complete,medium,or,RPMI,1640,B27,lactate,FBS",,2,Yes,,,,,,Motion tracking analysis,,5,,Dye,,,,,,,,,,,,,,isoproterenol,ACM,,,,2D Only,,,1,Q3,2,Q2,,,,3,Q2,Q2,Cor.4U complete medium or 1:1 RPMI-1640:No-glucose DMEM,100,Q1,0,Q2,0,Q3,,Q4,,,,Q1,,,,,,,,,,,,,
"Parveen, S., Singh, S. P., Panicker, M. M. & Gupta, P. K. Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis. In Vitro Cell Dev Biol Anim 55, 272284 (2019).", Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis,,https://doi.org/10.1007/s11626-019-00321-y,2019," In Vitro Cell Dev Biol Anim 55, 272284 (2019)",in-house,1,,,,,EB,Knockout DMEM,B27,"Activin A, BMP4, bFGF",0-4,"BMP4, Activin A, bFGF, VEGF",4-Aug,,,,,,Matrigel,,,,,,,,,Yes,Decellularized ECM,,,,,,,,Yes,,,,,,,,,,Dye,,,,,,,,,,,,,PCR,,,,,,2D Only,,,4,Q1,4,Q1,,,,,,,Knockout DMEM,,,,,,,,,,,,,,,,,,,,,,,,,
"Pasqualini, F. S., Sheehy, S. P., Agarwal, A., Aratyn-Schaus, Y. & Parker, K. K. Structural phenotyping of stem cell-derived cardiomyocytes. Stem Cell Reports 4, 340347 (2015).", Structural phenotyping of stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.stemcr.2015.01.020,2015," Stem Cell Reports 4, 340347 (2015)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,FIbronectin,,,,,,,,Yes,,"Micropatterned PDMS, Micropatterned PAA",,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Peters, M. C. et al. Follistatin-like 1 promotes proliferation of matured human hypoxic iPSC-cardiomyocytes and is secreted by cardiac fibroblasts. Mol Ther Methods Clin Dev 25, 316 (2022).", Follistatin-like 1 promotes proliferation of matured human hypoxic iPSC-cardiomyocytes and is secreted by cardiac fibroblasts,,https://doi.org/10.1016/j.omtm.2022.02.005,2022," Mol Ther Methods Clin Dev 25, 316 (2022)","SCVI-273, UKKi032-C",2,"NaN, Female","NaN, NaN",,E8,95,iCell Maintenance Medium (CDI),B27,CHIR99021,0-3,Wnt-C59,3-Jul,No glucose,Sep-16,Flow cytometry for a-actinin+,,"DMEM without glucose with 3mM glucose, L-lactate, vitamin B12, biotin, creatine monohydrate, taurine, L-carnitine, L-ascorbic acid, NEAAs, Albumax, B27, KOSR",,Yes,"L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR",,,Yes,,,,,Micropatterned plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"RNA-seq, PCR",,Tissue hypoxia,,,,2D Only,95,,3,Q1,4,Q1,7,,,7,Q1,,"DMEM without glucose with 3mM glucose, L-lactate, vitamin B12, biotin, creatine monohydrate, taurine, L-carnitine, L-ascorbic acid, NEAAs, Albumax, B27, KOSR",,,,,,,,,,,,,,,,,,,,,,,,,
"Peters, M. C. et al. Metabolic Maturation Increases Susceptibility to Hypoxia-induced Damage in Human iPSC-derived Cardiomyocytes. Stem Cells Transl Med 11, 10401051 (2022).", Metabolic Maturation Increases Susceptibility to Hypoxia-induced Damage in Human iPSC-derived Cardiomyocytes,,https://doi.org/10.1093/stcltm/szac061,2022," Stem Cells Transl Med 11, 10401051 (2022)","SCVI-273, UKKi032-C",2,"NaN, Female","NaN, NaN",Matrigel,E8,85,iCell Maintenance Medium (CDI),B27,CHIR99021,0-3,Wnt-C59,3-Jul,No glucose,Sep-16,"Flow cytometry for cTnT+, Flow cytometry for a-actinin+",94,"DMEM without glucose with 3mM glucose, L-lactate, vitamin B12, biotin, creatine monohydrate, taurine, L-carnitine, L-ascorbic acid, NEAAs, Albumax, B27, KOSR",Matrigel,Yes,"L-lactate, Vitamin B12, Biotin, Creatine monohydrate, Taurine, L-carnitine, Ascorbic acid, 1x NEAA, Albumax, 1x B27, 1% KOSR",,,,,,,,ECM-coated plastic/glass,,,,,"DMEM,without,glucose,with,3mM,glucose,L,lactate,vitamin,B12,biotin,creatine,monohydrate,taurine,L,carnitine,L,ascorbic,acid,NEAAs,Albumax,B27,KOSR",,,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,Seahorse,,,,Tissue hypoxia,,,,2D Only,85,,3,Q1,4,Q1,7,,,7,Q1,Q2,"DMEM without glucose with 3mM glucose, L-lactate, vitamin B12, biotin, creatine monohydrate, taurine, L-carnitine, L-ascorbic acid, NEAAs, Albumax, B27, KOSR",,,,,,,,,,,,,,,,,,,,,,,,,
"Pioner, J. M. et al. Isolation and mechanical measurements of myofibrils from human induced pluripotent stem cell-derived cardiomyocytes. Stem Cell Reports 6, 885896 (2016).", Isolation and mechanical measurements of myofibrils from human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.stemcr.2016.04.006,2016," Stem Cell Reports 6, 885896 (2016)",in-house (2),2,,,Matrigel,mTeSR-1,,iCell Maintenance Medium (CDI),B27,"CHIR99021, Activin A",0-3,XAV939,Not Listed,,,Flow cytometry for cTnT+,60,,,,,,,,,Yes,,,Micropatterned plastic/glass,,,,,,,,Yes,TEM,,1.8,7696,Yes,,,,,,,,,,,,,,,,,,PCR,,HCM,,,,2D Only,,,3,Q1,1,Q3,7,,,,,Q5,iCell Maintenance Medium (CDI),,,,,,,,,Q3,Q1,,,,,,,,,,,,,,,
"Pioner, J. M. et al. Optical investigation of action potential and calcium handling maturation of hiPSC-cardiomyocytes on biomimetic substrates. Int J Mol Sci 20, (2019).", Optical investigation of action potential and calcium handling maturation of hiPSC-cardiomyocytes on biomimetic substrates,,https://doi.org/10.3390/ijms20153799,2019," Int J Mol Sci 20, (2019)",UC3-4 A1,1,,,Matrigel,mTeSR-1,70,iCell Maintenance Medium (CDI),B27,,0-2,,2-Apr,,,,,,,,,,,,,Yes,Yes,,Micropatterned plastic/glass,,,,,,,,,,,,,,,,,,Dye,,33,190,,,Patch clamp; optical mapping,,100,-75,,,,,"isoproterenol, forskolin",,,,,2D Only,70,,2,Q2,2,Q2,12,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,Q4,Q4,,,,Q3,Q2,,,,
"Pires, R. H., Shree, N., Manu, E., Guzniczak, E. & Otto, O. Cardiomyocyte mechanodynamics under conditions of actin remodelling. Philosophical Transactions of the Royal Society B: Biological Sciences 374, (2019).", Cardiomyocyte mechanodynamics under conditions of actin remodelling,,https://doi.org/10.3390/ijms20153799,2019," Philosophical Transactions of the Royal Society B: Biological Sciences 374, (2019)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Geltrex,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Pointon, A. et al. High-throughput imaging of cardiac microtissues for the assessment of cardiac contraction during drug discovery. Toxicological Sciences 155, 444457 (2017).", High-throughput imaging of cardiac microtissues for the assessment of cardiac contraction during drug discovery,,https://doi.org/10.1093/toxsci/kfw227,2017," Toxicological Sciences 155, 444457 (2017)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,,Scaffold free,CM + EC + SC,hCF,CMVEC,"iCell,CM,Maintenance,Media,CDI,EBM2",0.0125,0.03,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,PCR,"amitriptyline, amoxicillin, acetylsalicylic acid, atenolol, AZ1-9, bepridil, captopril, chloroquine, cibenzoline, cimetidine, digoxin, diltiazem, disopyramide, dobutamine, doxorubicin, enalapril, epinephrine, flecainide, furosemide, haloperidol, isoproterenol, lapatinib, levosimendan, lisinopril, milrinone, nifedipine, paracetamol, pravastatin, quinidine, ramipril, sunitinib, tolbutamide, verapamil",,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),67,Q3,16.5,Q1,16.5,Q1,Q5,Q5,,,,,,,,,,,,,,,,,
"Polonchuk, L. et al. Cardiac spheroids as promising in vitro models to study the human heart microenvironment. Sci Rep 7, (2017).", Cardiac spheroids as promising in vitro models to study the human heart microenvironment,,https://doi.org/10.1038/s41598-017-06385-8,2017," Sci Rep 7, (2017)",Cor.4U,1,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,Yes,,,,,,Scaffold free,CM + EC + SC,hiPSC-CF,HCAEC,,0.15,0.35,Yes,TEM,,,,,,,,,,,,,,,,,,,,,,,"doxorubicin, L-NIO",,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),50,Q3,25,Q1,25,Q1,Q5,Q4,,,,,,,,,,,,,,,,,
"Portillo-Esquivel, L. E., Nanduri, V., Zhang, F., Liang, W. & Zhang, B. z-Wire: A Microscaffold That Supports Guided Tissue Assembly and Intramyocardium Delivery for Cardiac Repair. Adv Healthc Mater 9, (2020).", z-Wire: A Microscaffold That Supports Guided Tissue Assembly and Intramyocardium Delivery for Cardiac Repair,,https://doi.org/10.1002/adhm.202000358,2020," Adv Healthc Mater 9, (2020)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,Yes,Yes,,Yes: Magnetic guided anisotropy,,,,Z-wires with Iron(III) oxide nanoparticles (magnetic),CM + SC,hiPSC-CF,,"iCell,Maintenance,Medium,CDI",40,0.75,Yes,,Yes,,,,Motion tracking analysis,,,,,,,160,,,,,,,,,,,"bepridil, cisapride, carbenoxolone",,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),50,Q3,0,Q2,50,Q1,Q1,Q4,,,,,,,,Q4,,,,,,,,,
"Prajapati, C., Pölönen, R. P. & Aalto-Setälä, K. Simultaneous recordings of action potentials and calcium transients from human induced pluripotent stem cell derived cardiomyocytes. Biol Open 7, (2018).", Simultaneous recordings of action potentials and calcium transients from human induced pluripotent stem cell derived cardiomyocytes,,https://doi.org/10.1242/bio.035030,2018," Biol Open 7, (2018)","UTA.04602.WT, UTA.04511.WT",2,"Female, NaN","Caucasian, NaN",MEF feeder cells,"KO-DMEM, KOSR, GlutaMax, NEAAs",EB,iCell Maintenance Medium (CDI),"FBS, NEAAs, GlutaMax",,,,,,,"IHC cTnT, IHC RyR2",,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Dye,,,,790,,Patch clamp,,,,,,,,"E-4031, nimodipine, chromanol 293B",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,Q1,,,,,,,,
"Pretorius, D. et al. Layer-By-Layer Fabrication of Large and Thick Human Cardiac Muscle Patch Constructs With Superior Electrophysiological Properties. Front Cell Dev Biol 9, (2021).", Layer-By-Layer Fabrication of Large and Thick Human Cardiac Muscle Patch Constructs With Superior Electrophysiological Properties,,https://doi.org/10.3389/fcell.2021.670504,2021," Front Cell Dev Biol 9, (2021)",Not listed,,,,Matrigel,mTeSR-1,,iCell Maintenance Medium (CDI),B27,Not Listed,,,,No glucose with lactate,Sep-15,Flow cytometry for cTnT+,98,,,,,,,Yes,,,,,,Fibrin + matrigel,CM + EC + SC,hiPSC-CF,hiPSC-EC,"DMEM,B27,FBS,aminocaproic,acid",10,200,Yes,,,,,,Motion tracking analysis,,,,,,,,,,Optical mapping,30,,,,,,PCR,,,,,,3D Only,,,1,Q3,1,Q3,,,,6,Q1,Q1,iCell Maintenance Medium (CDI),57,Q3,29,Q1,14,Q1,Q3,Q1,,,,,,,,,,,Q1,,,,,,
"Pretorius, D., Kahn-Krell, A. M., LaBarge, W. C., Lou, X. & Zhang, J. Engineering of thick human functional myocardium via static stretching and electrical stimulation. iScience 25, (2022).", Engineering of thick human functional myocardium via static stretching and electrical stimulation,,https://doi.org/10.1016/j.isci.2022.103824,2022," iScience 25, (2022)","hiPSC5, lzhiPSC5",3,"NaN, NaN","NaN, NaN",Geltrex,mTeSR Plus,90,iCell Maintenance Medium (CDI),B27,CHIR99021,0-1,IWR1,3-May,No glucose with lactate,Sep-15,Flow cytometry for cTnT+,96,,,,,Yes,Yes,,,,,,,Fibrin,CM,,,"RPMI,1640,B27,FBS,aminocaproic,acid",10,107,Yes,TEM,,1.8,,,,,,,,,,,,,,,,,,,,PCR,,,,,,3D Only,,,1,Q3,2,Q2,7,,,6,Q1,Q1,iCell Maintenance Medium (CDI),100,Q1,0,Q2,0,Q3,Q3,Q1,Q3,,,,,,,,,,,,,,,,
"Pushp, P. et al. Functional comparison of beating cardiomyocytes differentiated from umbilical cord-derived mesenchymal/stromal stem cells and human foreskin-derived induced pluripotent stem cells. J Biomed Mater Res A 108, 496514 (2020).", Functional comparison of beating cardiomyocytes differentiated from umbilical cord-derived mesenchymal/stromal stem cells and human foreskin-derived induced pluripotent stem cells,,https://doi.org/10.1002/jbm.a.36831,2020," J Biomed Mater Res A 108, 496514 (2020)",DF6-9-9T.B,1,,,"Matrigel, Sythemax",mTeSR-1,85,iCell Maintenance Medium (CDI),B27,CHIR99021,0-1,IWP2,2-May,,,Flow cytometry for cTnT+,33,,,,,,,,,Yes,,,Electrospun fibers,,,,,DMEM,,,Yes,,,,,,,,,,,,,,,,,,,,,,,PCR,,,,,,2D Only,85,,1,Q3,3,Q1,7,,,,,Q5,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Qian, F. et al. Simultaneous electrical recording of cardiac electrophysiology and contraction on chip. Lab Chip 17, 17321739 (2017).", Simultaneous electrical recording of cardiac electrophysiology and contraction on chip,,https://doi.org/10.1039/c7lc00210f ,2017," Lab Chip 17, 17321739 (2017)",iCell,1,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,Yes,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,norepinephrine,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Qu, Y. et al. Inotropic assessment in engineered 3D cardiac tissues using human induced pluripotent stem cell-derived cardiomyocytes in the BiowireTM II platform. J Pharmacol Toxicol Methods 105, (2020).", Inotropic assessment in engineered 3D cardiac tissues using human induced pluripotent stem cell-derived cardiomyocytes in the BiowireTM II platform,,https://doi.org/10.1016/j.vascn.2020.106886,2020," J Pharmacol Toxicol Methods 105, (2020)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,Yes,Yes,Yes,,,,,,Collagen + fibrin + matrigel,CM + SC,hCF,,,50,1,,,,,,,Post deflection,,,,,,,,,,Optical mapping,,,,,,,,"isoproterenol, dobutamine, milrpinone, pimobendan, levosimendan, omecamtiv mecarbil, AMG1, AMG2, pyrethrin-apelin-13",,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),91,Q2,0,Q2,9,Q2,Q1,Q4,,,,,,,,,,,,,,,,,
"Quach, B., Krogh-Madsen, T., Entcheva, E. & Christini, D. J. Light-Activated Dynamic Clamp Using iPSC-Derived Cardiomyocytes. Biophys J 115, 22062217 (2018).", Light-Activated Dynamic Clamp Using iPSC-Derived Cardiomyocytes,,https://doi.org/10.1016/j.bpj.2018.https://doi.org/10.018,2018," Biophys J 115, 22062217 (2018)",Cor.4U,1,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,Gelatin,,,Optical sitmulation,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,Patch clamp,,110,-78,,,,,E4031,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,Q2,Q1,,,,
"Querdel, E. et al. Human Engineered Heart Tissue Patches Remuscularize the Injured Heart in a Dose-Dependent Manner. Circulation 143, 19912006 (2021).", Human Engineered Heart Tissue Patches Remuscularize the Injured Heart in a Dose-Dependent Manner,,https://doi.org/10.1161/CIRCULATIONAHA.120.047904,2021," Circulation 143, 19912006 (2021)","UKEi1-A, TC-1133, C25",3,"NaN, Male, Female","NaN, NaN, Caucasian",Geltrex,FTDA,EB,iCell Maintenance Medium (CDI),"FBS, L-glutamine","Activin A, BMP4, bFGF",0-3,DS-I-7,3-Oct,,,Flow cytometry for cTnT+,83,,,,,,Yes,,,Yes,,,,Fibrin,CM,,,"DMEM,heat,inactivated,horse,serum,aprotinin,insulin",10,3500,Yes,,Yes,,,,Post deflection,4.6,,,,,,,,,MEA,41,110,-82,,,,,isoproterenol,,,,,3D Only,,,3,Q1,7,Q1,6,,,,,Q4,iCell Maintenance Medium (CDI),100,Q1,0,Q2,0,Q3,Q3,Q1,,,Q1,,,,,,,,Q1,Q2,Q1,,,,
"Rajamohan, D. et al. Automated electrophysiological and pharmacological evaluation of human pluripotent stem cell-derived cardiomyocytes. Stem Cells Dev 25, 439452 (2016).", Automated electrophysiological and pharmacological evaluation of human pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1089/scd.2015.0253,2016," Stem Cells Dev 25, 439452 (2016)","FIB-hiPSC, BT1-hiPSC",2,"NaN, NaN","NaN, NaN",Matrigel,"DMEM/F12, 15% KSR, 1% NEAA, 1% glutamax, 10uM B-mercaptoethanol, 8ng/mL bFGF",,RPMI-1640,B27,"Activin A, BMP4",0-2,KY02111,2-Apr,,,Flow cytometry for cTnT+,91,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,Patch clamp,,105,-39,,,,,"tetrodotoxin, nifedipine, E4031",,,,,2D Only,,,2,Q2,2,Q2,4,,,,,Q2,RPMI-1640,,,,,,,,,,,,,,,,,,,,Q2,Q5,,,,
"Raval, K. K. et al. Pompe disease results in a Golgi-based glycosylation deficit in human induced pluripotent stem cell-derived cardiomyocytes. Journal of Biological Chemistry 290, 31213136 (2015).", Pompe disease results in a Golgi-based glycosylation deficit in human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1074/jbc.M114.628628,2015," Journal of Biological Chemistry 290, 31213136 (2015)","GM20089, GM20123, GM04912",3,"NaN, NaN, NaN","NaN, NaN, NaN",Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,Flow cytometry for cTnT+,80,,Gelatin,,,Yes,,,,,,,,Fibrin,CM,,,"RPMI,1640,B27",6,141,Yes,TEM,,,,,Force transducer ,1.2,,,,,,,,,,,,,,,,,,Pompe Disease (loss of lysosomal GAA),,,,3D Only,,,1,Q3,2,Q2,7,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,Q3,Q1,,,Q1,,,,,,,,,,,,,,
"Rehnelt, S. et al. Frequency-dependent multi-well cardiotoxicity screening enabled by optogenetic stimulation. Int J Mol Sci 18, (2017).", Frequency-dependent multi-well cardiotoxicity screening enabled by optogenetic stimulation,,https://doi.org/10.3390/ijms18122634,2017," Int J Mol Sci 18, (2017)",Cor.4U,1,,,,,,Cor.4U complete medium,,,,,,,,,,,,,,Optical stimulation,,,,,,,ECM-coated plastic/glass,,,,,"Cor.4U,complete,medium",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,"lidocaine, nifedipine, E4031",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,Cor.4U complete medium,,,,,,,,,,,,,,,,,,,,,,,,,
"Richards, D. J. et al. Human cardiac organoids for the modelling of myocardial infarction and drug cardiotoxicity. Nat Biomed Eng 4, 446462 (2020).", Human cardiac organoids for the modelling of myocardial infarction and drug cardiotoxicity,GSE115031 (Control),https://doi.org/10.1038/s41551-020-0539-4,2020," Nat Biomed Eng 4, 446462 (2020)",iCell,2,,,,,EB,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,,Scaffold free,CM + EC + SC,"hCF, hADSC",HUVEC,"DMEM,F12,FBS,NEAAs,FGM,3,EGM2",2,0.07,Yes,,,,,,Motion tracking analysis,,,,Dye,0.3,42,,,,,,,,,Seahorse,,RNA-seq,norepinephrine,Acute myocardial infarction,30.1,26.6,16.6,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),50,Q3,14,Q1,36,Q1,Q4,Q5,,,,,,Q4,Q3,,,,,,,,Q2,Q2,Q1
"Richards, D. J. et al. Inspiration from heart development: Biomimetic development of functional human cardiac organoids. Biomaterials 142, 112123 (2017).", Inspiration from heart development: Biomimetic development of functional human cardiac organoids,,https://doi.org/10.1016/j.biomaterials.2017.07.021,2017," Biomaterials 142, 112123 (2017)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,,Scaffold free,CM + EC + SC,hCF,HUVEC,"DMEM,F12,FBS,NEAAs,FGM,3,EGM2",2,0.13,Yes,"SEM, TEM",,,,,Motion tracking analysis,,,,Dye,,,170,480,,,,,,,,,PCR,"verapamil, ryanodine, E4031, isoproterenol",,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),50,Q3,10,Q1,40,Q1,Q4,Q5,,,,,,,,Q4,Q1,,,,,,,,
"Richards, D. J. et al. Nanowires and electrical stimulation synergistically improve functions of hiPSC cardiac spheroids. Nano Lett 16, 46704678 (2016).", Nanowires and electrical stimulation synergistically improve functions of hiPSC cardiac spheroids,,https://doi.org/10.1021/acs.nanolett.6b02093,2016," Nano Lett 16, 46704678 (2016)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,Yes,,,,,,,,Scaffold free,,,,"iCell,Maintenance,Medium,CDI",,,Yes,TEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Rogers, A. J., Fast, V. G. & Sethu, P. Biomimetic Cardiac Tissue Model Enables the Adaption of Human Induced Pluripotent Stem Cell Cardiomyocytes to Physiological Hemodynamic Loads. Anal Chem 88, 98629868 (2016).", Biomimetic Cardiac Tissue Model Enables the Adaption of Human Induced Pluripotent Stem Cell Cardiomyocytes to Physiological Hemodynamic Loads,,https://doi.org/10.1021/acs.analchem.6b03105,2016," Anal Chem 88, 98629868 (2016)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,Flow,,Yes,,Micropatterned PDMS,,,,,"iCell,Maintenance,Medium,CDI,High,glucose,DMEM,FBS",,,Yes,,,,,,,,,,,,,,,,Optical mapping,2.5,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,Q4,,,,,,
